ntacode,ntaname
QN01,South Jamaica
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
BX13,Co-op City
BX59,Westchester-Unionport
BK88,Borough Park
BK79,Ocean Hill
MN35,Washington Heights North
BX30,Kingsbridge Heights
QN54,Richmond Hill
QN41,Fresh Meadows-Utopia
SI54,Great Kills
MN22,East Village
MN19,Turtle Bay-East Midtown
BX37,Van Nest-Morris Park-Westchester Square
BK93,Starrett City
QN72,Steinway
BK42,Flatbush
BK76,Greenpoint
SI25,Oakwood-Oakwood Beach
SI08,Grymes Hill-Clifton-Fox Hills
SI07,Westerleigh
QN35,Briarwood-Jamaica Hills
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
BX99,park-cemetery-etc-Bronx
BK29,Bensonhurst East
BK95,Erasmus
MN25,Battery Park City-Lower Manhattan
BK26,Gravesend
QN26,North Corona
BK90,East Williamsburg
QN33,Cambria Heights
BX41,Mount Hope
SI01,Annadale-Huguenot-Prince's Bay-Eltingville
QN60,Kew Gardens
BK23,West Brighton
MN36,Washington Heights South
MN32,Yorkville
BK83,Cypress Hills-City Line
QN62,Queensboro Hill
BK43,Midwood
MN14,Lincoln Square
BK34,Sunset Park East
QN37,Kew Gardens Hills
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
QN20,Ridgewood
BK25,Homecrest
MN50,Stuyvesant Town-Cooper Village
SI48,Arden Heights
BX14,East Concourse-Concourse Village
QN46,Bayside-Bayside Hills
QN05,Rosedale
MN04,Hamilton Heights
QN56,Ozone Park
QN12,Hammels-Arverne-Edgemere
BK69,Clinton Hill
QN63,Woodside
QN31,Hunters Point-Sunnyside-West Maspeth
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
MN11,Central Harlem South
SI22,West New Brighton-New Brighton-St. George
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
MN33,East Harlem South
QN47,Ft. Totten-Bay Terrace-Clearview
QN66,Laurelton
SI99,park-cemetery-etc-Staten Island
BK35,Stuyvesant Heights
BK33,Carroll Gardens-Columbia Street-Red Hook
SI45,New Dorp-Midland Beach
SI36,Old Town-Dongan Hills-South Beach
BX07,Bronxdale
BX98,Rikers Island
SI37,Stapleton-Rosebank
QN43,Bellerose
BK68,Fort Greene
SI05,New Springville-Bloomfield-Travis
MN15,Clinton
QN06,Jamaica Estates-Holliswood
BK21,Seagate-Coney Island
BX05,Bedford Park-Fordham North
BK09,Brooklyn Heights-Cobble Hill
BX29,Spuyten Duyvil-Kingsbridge
MN12,Upper West Side
QN22,Flushing
BK28,Bensonhurst West
MN01,Marble Hill-Inwood
BK60,Prospect Lefferts Gardens-Wingate
QN15,Far Rockaway-Bayswater
BK72,Williamsburg
BK82,East New York
QN44,Glen Oaks-Floral Park-New Hyde Park
BK61,Crown Heights North
BX36,University Heights-Morris Heights
QN23,College Point
QN18,Rego Park
MN23,West Village
QN30,Maspeth
QN34,Queens Village
QN53,Woodhaven
QN50,Elmhurst-Maspeth
QN61,Jamaica
BX33,Longwood
BK85,East New York (Pennsylvania Ave)
MN06,Manhattanville
QN45,Douglas Manor-Douglaston-Little Neck
QN07,Hollis
QN51,Murray Hill
MN20,Murray Hill-Kips Bay
MN40,Upper East Side-Carnegie Hill
MN03,Central Harlem North-Polo Grounds
BK27,Bath Beach
BX34,Melrose South-Mott Haven North
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin
QN42,Oakland Gardens
BK41,Kensington-Ocean Parkway
MN24,SoHo-TriBeCa-Civic Center-Little Italy
SI14,Grasmere-Arrochar-Ft. Wadsworth
QN17,Forest Hills
BK30,Dyker Heights
BX39,Mott Haven-Port Morris
QN52,East Flushing
BK91,East Flatbush-Farragut
BK37,Park Slope-Gowanus
BX10,Pelham Bay-Country Club-City Island
BX01,Claremont-Bathgate
BK81,Brownsville
QN21,Middle Village
BX52,Schuylerville-Throgs Neck-Edgewater Park
BX08,West Farms-Bronx River
BX46,Parkchester
BX63,West Concourse
SI32,Rossville-Woodrow
BX31,Allerton-Pelham Gardens
QN28,Jackson Heights
QN19,Glendale
MN27,Chinatown
QN48,Auburndale
QN38,Pomonok-Flushing Heights-Hillcrest
BK63,Crown Heights South
BX22,North Riverdale-Fieldston-Riverdale
BX03,Eastchester-Edenwald-Baychester
BX75,Crotona Park East
BK46,Ocean Parkway South
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville
BX26,Highbridge
QN71,Old Astoria
BK40,Windsor Terrace
BK31,Bay Ridge
BK50,Canarsie
BX35,Morrisania-Melrose
BX06,Belmont
BK64,Prospect Heights
QN02,Springfield Gardens North
BK58,Flatlands
MN21,Gramercy
MN17,Midtown-Midtown South
BK19,Brighton Beach
QN29,Elmhurst
QN55,South Ozone Park
BK77,Bushwick North
SI28,Port Richmond
MN28,Lower East Side
QN08,St. Albans
BX28,Van Cortlandt Village
BX40,Fordham South
QN27,East Elmhurst
BK32,Sunset Park West
MN09,Morningside Heights
BK75,Bedford
QN49,Whitestone
MN99,park-cemetery-etc-Manhattan
BX44,Williamsbridge-Olinville
BK73,North Side-South Side
BK78,Bushwick South
QN98,Airport
QN68,Queensbridge-Ravenswood-Long Island City
BX62,Woodlawn-Wakefield
SI35,New Brighton-Silver Lake
SI11,Charleston-Richmond Valley-Tottenville
BK99,park-cemetery-etc-Brooklyn
BX55,Soundview-Bruckner
QN76,Baisley Park
BX49,Pelham Parkway
BX27,Hunts Point
QN03,Springfield Gardens South-Brookville
QN99,park-cemetery-etc-Queens
BX17,East Tremont
BK44,Madison
QN25,Corona
BX09,Soundview-Castle Hill-Clason Point-Harding Park
QN70,Astoria
BK96,Rugby-Remsen Village
QN57,Lindenwood-Howard Beach
BX43,Norwood
MN34,East Harlem North
MN31,Lenox Hill-Roosevelt Island
