Precinct,Neighborhood
1,Battery Park
1,Tribeca
5,Lower East Side
5,Chinatown
6,Greenwich Village
6,Soho
7,Chinatown
7,Lower East Side
9,Chinatown
10,Chelsea
10,Clinton
13,Stuyvesant Town
13,Turtle Bay
14,Midtown Business District
17,Stuyvesant Town
17,Turtle Bay
18,Chelsea
18,Clinton
19,Upper East Side
20,Upper West Side
22,Central Park
23,East Harlem
24,Upper West Side
25,East Harlem
26,Manhattanville
26,Hamilton Heights
28,Central Harlem
30,Manhattanville
30,Hamilton Heights
32,Central Harlem
33,Washington Heights
33,Inwood
34,Washington Heights
34,Inwood
40,Melrose
40,Mott Haven
40,Port Morris
41,Hunts Point
41,Longwood
42,Morrisania
42,Crotona Park East
43,Soundview
43,Parkchester
44,Highbridge
44,Concourse Village
45,Throgs Neck
45,Co-op City
45,Pelham Bay
46,University Heights
46,Fordham
46,Mt. Hope
47,Wakefield
47,Williamsbridge
48,East Tremont
48,Belmont
49,Pelham Parkway
49,Morris Park
49,Laconia
50,Riverdale
50,Kingsbridge
50,Marble Hill
52,Bedford Park
52,Norwood
52,Fordham
60,Coney Island
60,Brighton Beach
61,Sheepshead Bay
61,Gerritsen Beach
62,Bensonhurst
62,Bath Beach
63,Canarsie
63,Flatlands
66,Borough Park
66,Ocean Parkway
67,East Flatbush
67,Rugby
67,Farragut
68,Bay Ridge
68,Dyker Heights
69,Canarsie
69,Flatlands
70,Flatbush
70,Midwood
71,Crown Heights South
71,Wingate
72,Sunset Park
72,Windsor Terrace
73,Brownsville
73,Ocean Hill
75,East New York
75,Starrett City
76,Park Slope
76,Carroll Gardens
77,Crown Heights North
78,Park Slope
78,Carroll Gardens
79,Bedford Stuyvesant
81,Bedford Stuyvesant
83,Bushwick
84,Brooklyn Heights
84,Fort Greene
88,Brooklyn Heights
88,Fort Greene
90,Williamsburg
90,Greenpoint
94,Williamsburg
94,Greenpoint
100,The Rockaways
100,Broad Channel
101,The Rockaways
101,Broad Channel
102,Woodhaven
102,Richmond Hill
103,Jamaica
103,St. Albans
103,Hollis
104,Ridgewood
104,Glendale
104,Maspeth
105,Queens Village
105,Rosedale
106,Ozone Park
106,Howard Beach
107,Fresh Meadows
107,Briarwood
108,Sunnyside
108,Woodside
109,Flushing
109,Bay Terrace
110,Elmhurst
110,South Corona
111,Bayside
111,Douglaston
111,Little Neck
112,Forest Hills
112,Rego Park
113,Jamaica
113,St. Albans
113,Hollis
114,Astoria
114,Long Island City
115,Jackson Heights
115,North Corona
120,Stapleton
121,Port Richmond
122,New Springville
122,South Beach
123,Tottenville
123,Woodrow
123,Great Kills
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
